Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
DFG;SE 1827/15-1;LIS - Erschließung und Digitalisierung;GESAH;"Digitalisierung und fachliche Erschließung der Grafischen
Einzelblätter der Sammlung des Architekten Albrecht Haupt ";;21.06.2019;20.06.2022;A. W-Dienst;51000061;Accepted;Ja
DFG;SE 1827/15-1;LIS - Erschließung und Digitalisierung;GESAH;"Digitalisierung und fachliche Erschließung der Grafischen
Einzelblätter der Sammlung des Architekten Albrecht Haupt ";;21.06.2019;20.06.2022;C. OSL;51000061;Accepted;Ja
DFG;;DFG SFB 1153/2, Teilprojekt INF ;Forschungsdatenmanagement Tailored Forming;Vokabularorientiertes Forschungsdatenmanagement für Prozessketten der Tailored-Forming-Technologie;https://www.sfb1153.uni-hannover.de;01.07.2019;30.06.2023;C. DSDL;59000029;Accepted;
DFG;SE 1827/16-1;"DFG LIS ""E-Publikationen und dig. Wiss.-Kommunikation""";ConfIDent;ConfIDent-A reliable platform for scientific events;;01.12.2019;30.11.2022;C. NTM;51000062;Accepted;
DFG;SE 1827/16-1;"DFG LIS ""E-Publikationen und dig. Wiss.-Kommunikation""";ConfIDent;ConfIDent-A reliable platform for scientific events;;01.12.2019;30.11.2022;A. Ref. PM;51000062;Accepted;
DFG;SE 1827/16-1;"DFG LIS ""E-Publikationen und dig. Wiss.-Kommunikation""";ConfIDent;ConfIDent-A reliable platform for scientific events;https://projects.tib.eu/confident/;01.12.2019;30.11.2022;C. OSL;51000062;Accepted;ja
MWK;;Promotionsprogramm;LernMINT;LernMINT - Datengestützter Unterricht in den MINT-Fächern;;01.01.2020;31.12.2023;C. VA;20200014;Accepted;
MWK;;Promotionsprogramm;;Verantwortungsvolle KI in der digitalen Gesellschaft;;01.01.2020;31.12.2023;C. VA;20200015;Accepted;
BMBF;;"Forschung zur digitalen Hochschulbildung
- Disziplin- und fachbezogene digitale Hochschulbildung - ";X-Sprints;"X LAB Notebooks -
X-Sprints in der Hochschullehre in Architektur und Ingenieurwesen für 3D-Daten in Jupyter Notebooks";;;;C. OSL;;Rejected;
BMBF;;"Forschung zur digitalen Hochschulbildung
- Disziplin- und fachbezogene digitale Hochschulbildung - ";dOClab;Digitales organisch-chemisches Laborpraktikum;;;;C. DSDL;;Rejected;
BMBF;;"Forschung zur digitalen Hochschulbildung
- Disziplin- und fachbezogene digitale Hochschulbildung - ";Data2MINT;Datengestützte und fachbezogene Gestaltung, Implementation und Evaluation mathematisch-naturwissenschaftlicher Hochschulbildung;;;;C. VA;;Rejected;
BMBF;;"Forschung zur digitalen Hochschulbildung
- Disziplin- und fachbezogene digitale Hochschulbildung - ";AdLearn;Learning Analytics und adaptive Lernpfade für eine individuelle Programmierkompetenzvermittlung - AdLearn;;;;C. DSDL;;Rejected;
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;SYNTHETHICS;Knowledge Graph-Technologien als digitale Unterstützung der Synthese ethischen Wissens durch systematische Übersichtsarbeiten;;;;C. SDM;;Rejected;
EU;;H2020 MSCA-ITN-2019 Innovative Training Networks;NIOBE;Data Science for Big Earth Observation Data;;;;C. SDM;;Rejected;
EU;;H2020 MSCA-ITN-2019 Innovative Training Networks;LATITUDE;;;;;C. DSDL;;Rejected;
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;InVernO;Intentionales Vergessen in Gedächtnisorganisationen;;;;A. BuL;;Rejected;
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;ETHNAR;Narrativität in ethnographischen Filmen;;;;C. VA;;Rejected;
VW Stiftung;;;ETHNAR;Narrativität in ethnographischen Filmen;;;;C. NTM;;Rejected;
