Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
BMBF;;Förderung von deutsch-französischen Projekten zum Thema Künstliche Intelligenz;trAIt;Explainable AI for Open and Personalised Transferable Skills Training;;01.06.2021;31.05.2025;C. DSDL;;Rejected;
BMWi;01MK21007C;"Entwicklung digitaler Technologien, Technologieumsetzung des BMWi für den Schwerpunkt Künstliche
Intelligenz";CoyPu;"Cognitive Economy Intelligence - Plattform für die Resilienz wirtschaftlicher Ökosysteme -
Teilvorhaben: Etablierung eines Resilienzdatenökosystems mit Vokabularen und Integration nachhaltiger Datenservices";;01.06.2021;31.05.2024;C. DSDL;53000030;Accepted;
BMWi;01MK21007C;"Entwicklung digitaler Technologien, Technologieumsetzung des BMWi für den Schwerpunkt Künstliche
Intelligenz";CoyPu;"Cognitive Economy Intelligence - Plattform für die Resilienz wirtschaftlicher Ökosysteme -
Teilvorhaben: Etablierung eines Resilienzdatenökosystems mit Vokabularen und Integration nachhaltiger Datenservices";;01.06.2021;31.05.2024;C. SDM;20210020;Accepted;
DFG;;UK-German Funding Initiative in the Humanities (Sachbeihilfe);X-Sketchbook;The Change of Architectural Design Processes with the Digital Shift and the Sketchbook of the Future;;;;C. OSL;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-3343.html;ChainEval;Blockchain gestützte Zertifikate evaluiert in der Praxis;;01.11.2021;31.10.2023;C. OSL;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-3343.html;DiNawInk;Digitaler naturwissenschaftlicher Unterricht für alle – Untersuchung von Inklusion und Exklusion mittels Learning Analytics;;01.11.2021;31.10.2023;C. VA;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-3343.html;NERDS;Nachfrageorientierte Entwicklung und DistRibution von Data-Science-Bildungsangeboten im Spannungsfeld zwischen Hochschulbildung und Open Education ;;01.11.2021;31.10.2023;C. DSDL;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-3343.html;P2P-Lernen;Learning Circles - P2P-Lernen am dritten Ort;;01.11.2021;31.10.2023;C. OSL;;Rejected;
DFG;;Emmy Noether Programm;COGNITER;Knowledge journeys in research and its infrastructure;;;;C. DSDL;;Rejected;
DFG;;DFG LIS, Infrastrukturen für wissenschaftliches Publizieren;SERVO;"Self Service Video Abstracts - Entwicklung und Etablierung eines Autor*innentools für die Produktion von
wissenschaftlichen Video Abstracts";;;;C. NTM;;Rejected;
BMBF;FAIRDS12;Fördermaßnahmen im Kontext GAIA-X;FAIR-DS;"FAIR Data Spaces - Aufbau eines gemeinsamen Cloud-basierten Datenraums für Wirtschaft und
Wissenschaft";;17.05.2021;16.05.2024;C. DSDL;53000029;Accepted;
BMBF;;BMBF Forschungsprojekte zum Thema „Wissenstransfer“, Bekanntmachung 3331;INDEED;INDEED - Gelingensbedingungen von Wissenstransfer mit wiss. Videos;;01.04.2022;31.03.2025;C. NTM;;Rejected;
Leibniz-Gemeinschaft;K371/2021;Leibniz-Wettbewerb 2022;eVIDence;"Evidence- and AI-based Indexing, Enrichment, and
Recommendation of Educational Videos";;01.01.2022;31.12.2024;C. VA;;Rejected;
DFG;SE 1827/13-2;LIS / Überregionale Lizenzierung - Fortsetzungsantrag;Allianz-Lizenz Biochem. (Fortsetzung);Erwerb von Allianz-Lizenzen an der TIB – Biochemical Society Journals (Fortsetzung);;;;A. Ref. L;;Rejected;
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-3475.html;MINnovaTiv;MINnovaTiv - digital gestützte Bildung nach dem Leibniz-Prinzip;;01.01.2022;31.12.2024;C. VA;;Rejected;
BMBF;16INB1061;https://www.bmbf.de/foerderungen/bekanntmachung-3567.html;TOERN;Teilen von Open Educational Resources auf der Nationalen Bildungsplattform;;18.10.2021;17.03.2022;C. NTM;53000033;Accepted;
DFG;;LIS- Informationsinfrastrukturen für Forschungsdaten;LaZAR Plus;"Ausbau der erzielten LaZAR-Infrastruktur durch die Förderung der
wissenschaftlichen Reflexionen über die im Open-Access-Repositorium archivierten
Forschungsdaten";;;;C. DSDL;;Rejected;
BMBF;;Digitalisierung der Materialforschung in Deutschland“ (MaterialDigital 2);EcoPlast2Bit;"Materialdaten für nachhaltigere Kunststoffe (Biokunststoffe und Recyclingkunststoffe) im Spritzguss – Praxisnutzung
erleichtern durch Simulierbarkeit";;01.01.2022;31.12.2024;C. DSDL;;Rejected;
BMBF;13XP5196F;Digitalisierung der Materialforschung in Deutschland“ (MaterialDigital 2);InSuKa;Intelligente Suchmaschine zur Findung von optimierten Kautschukcompounds;;01.06.2023;31.05.2026;D. KCB;53000039;Accepted;
DFG;;LIS - eResearch-Technologien;MatSci;Entwicklung maschinell unterstützter Tiefenerschließung von Fachliteratur für die Materialwissenschaft und Werkstofftechnik auf Basis von Open Source Technologien;;;;C. DSDL;;Rejected;
Stiftung Niedersachsen;6797-068/21;Erinnerungen und Orte digital erschließen - Citizen-Science-Hackathons mit Kultureinrichtungen, Gedenkstätten und Archiven in Niedersachsen;;;;01.06.2021;31.12.2022;C. OSL;59000034;Accepted;
Klosterkamm Hannover;1-2021-7487;Erinnerungen und Orte digital erschließen - Citizen-Science-Hackathons mit Kultureinrichtungen, Gedenkstätten und Archiven in Niedersachsen;;;;23.06.2021;31.03.2023;C. OSL;59000032;Accepted;
VGH Stiftung;AZ 120211009;Erinnerungen und Orte digital erschließen - Citizen-Science-Hackathons mit Kultureinrichtungen, Gedenkstätten und Archiven in Niedersachsen;;;;01.06.2021;31.12.2022;C. OSL;59000036;Accepted;
BMBF;FKZ 01IS22070 ;Förderung von Ideennachwuchs: Forschungsvorhaben von KI-Nachwuchsgruppen;SCINEXT;Neural-Symbolic Scholarly Innovation Extraction;;01.08.2022;31.07.2025;C. DSDL;53000034;Accepted;
BMBF;;Förderung von Ideennachwuchs: Forschungsvorhaben von KI-Nachwuchsgruppen;KIVI;KI-basierte Bild- und Videobeschreibungen für inklusive naturwissenschaftliche Lehrmaterialien;;01.01.2022;31.12.2024;C. VA;;Rejected;
KEK;SP1-2021-037;;;Umverpacken des Aktenbestands Ethnologie der Encyclopaedia Cinematographica (EC) des ehemaligen Instituts für den Wissenschaftlichen Film IWF;;28.07.2021;31.12.2021;A. BuL;53000031;Accepted;
MWK;;;;Umverpacken des Aktenbestands Ethnologie der Encyclopaedia Cinematographica (EC) des ehemaligen Instituts für den Wissenschaftlichen Film IWF;;28.07.2021;31.12.2021;A. BuL;56000020;Accepted;
EU;2020-1-HU01-KA226-HE-093987;Erasmus+ KA226 – Partnerschaften zur Förderung der Bereitschaft für digitale Bildung;BIPER;Business Informatics Programme Reengineering;;01.03.2021;30.09.2022;C. DSDL;57000017;Accepted;
EU;;ERASMUS-EDU-2021-PI-ALL-INNO-EDU-ENTERP Alliances for Innovation;UPSKILL SME;;;;;C. DSDL;;Rejected;
EU;;ERASMUS-EDU-2021-PI-ALL-INNO-EDU-ENTERP Alliances for Innovation;AI4VET4AI (2021);;;;;C. DSDL;57000021;Rejected;
EU;;HORIZON-HLTH-2021-DISEASE-04-01: Towards improved supportive, palliative, survivorship and end-of-life care of cancer patients;CARING;Cancer Care Artificial Intelligence Validation;;;;C. SDM;;Rejected;
BMBF;01UV2301D;Transformationspfade für nachhaltige Hochschulen;DiNaMo;Digitalisierung für nachhaltige Hochschulen - Teilprojekt: Vermeidung von Mobilität durch virtuelle KonferenzkulturDigitalisierung;;01.09.2023;31.08.2026;C. NTM;53000045;Accepted;
BMBF;01UV2301D;Transformationspfade für nachhaltige Hochschulen;DiNaMo;Digitalisierung für nachhaltige Hochschulen - Teilprojekt: Vermeidung von Mobilität durch virtuelle KonferenzkulturDigitalisierung;;01.09.2023;31.08.2026;C. OSL;53000045;Accepted;
DFG;GZ: EP 26/7-1;Open-Access-Publikationskosten / 2022–2024 / Universität Hannover;;Open-Access-Publikationskosten / 2022–2024 / Leibniz Universität Hannover (LUH);;01.01.2022;31.12.2024;A. Ref. L;59500026;Accepted;
EU;;HORIZON-INFRA-2021-EOSC-01-04;SKG4EOSC;Scholarly Knowledge Graphs for EOSC;;;;C. DSDL;;Rejected;
BMBF;;;LeibnizAI;Leibniz AI Academy - Disziplinübergreifende, hybride Micro-Degrees für Studium & Weiterbildung;;01.12.2021;30.11.2025;C. VA;20210019;Accepted;
BMBF;;;LeibnizAI;Leibniz AI Academy - Disziplinübergreifende, hybride Micro-Degrees für Studium & Weiterbildung;;01.12.2021;30.11.2025;C. DSDL;20210019;Accepted;
Leibniz-Gemeinschaft;Strategiefonds-2021-IDS-OA Publikationsfonds Monografien;Strategiefonds;;"zweite Förderphase des ""Open-Access-Publikationsfonds für Monografien der Leibniz-Gemeinschaft""";;01.07.2021;31.12.2024;A. Ref. L;54000009;Accepted;
EU;;HORIZON-CL2-2021-HERITAGE-01-04;SCARVES;Societal Challenges in Analytics foR Visual Ephemera at Scale;;;;C. OSL;;Rejected;
EU;101070069;HORIZON-CL4-2021-DATA-01-03;DataBri-X;Data Process & Technological Bricks for expanding digital value creation in European Data Spaces;;01.10.2022;30.09.2025;C. DSDL;57000018;Accepted;
EU;;HORIZON-CL4-2021-DATA-01-05;EMOS;Edge Meta Operating System;;;;C. DSDL;;Rejected;
EU;;HORIZON-CL4-2021-HUMAN-01-24;EqualitAI;Fair and Bias-aware AI Pipelines for Equality of Opportunities and Quality of Life in European Societies;;;;C. SDM;;Rejected;
EU;;HORIZON-CL4-2021-DATA-01-01;GLACIATION;Green responsibLe privACy preservIng dAta operaTIONs;;01.10.2022;30.09.2025;C. DSDL;20210020;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;nfdi4energy;NFDI4energy - NFDI für die interdisziplinäre Energiesystemforschung;;01.03.2023;28.02.2028;C. DSDL;51000082;Accepted;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Mobility;NFDI4Mobility - Verkehrswissenschaften ;;;;A. W-Dienst;;Rejected;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Phys  ;NFDI für disziplinäre und transdisziplinäre Physik;;;;C. DSDL;;Rejected;
DFG;;DFG Nationale Forschungsdateninfratruktur (NDFI) ;Methods;National  research  data  infrastructure  for  empirical  research on  human behavior in  Sports  Science,  Economics,  Social Sciences, Psychology, and Medical Informatics;;;;C. DSDL;;Rejected;
BMBF;;Stärkung der Datenkompetenzen des wissenschaftlichen Nachwuchses;AutoPlanDat;Automatisierte Analyse von Forschungsdaten aus den Pflanzenwissenschaften - exemplarisch für numerische und phänotypische Datensätzen;;01.07.2022;30.06.2025;A. W-Dienst;;Rejected;
BMBF;;Stärkung der Datenkompetenzen des wissenschaftlichen Nachwuchses;GAIA;Global Art + Intersectionality Analysis - Datenwissenschaftliche Analysen von Open Data aus Bilddatenbanken zeitgenössischer Bildender Kunst;;01.09.2022;31.08.2025;C. OSL;;Rejected;
BMBF;01FP22020B;Innovative Frauen im Fokus;BIG_GAP;Big-Data-basierte Gender-Analysen von Publikationen;;01.06.2022;31.05.2025;B. PD;;Rejected;
BMBF;;Innovative Frauen im Fokus;UNCOVER;UNsichtbaren COmmunity Impact von Frauen VERdeutlichen;;01.06.2022;31.05.2035;C. OSL;;Rejected;
BMBF;;Kompetenzen für eine digital geprägte Welt (Digitalisierung III);P2P-Lernen;"Wirkung von P2P-Lernformaten für den souveränen und produktiven Umgang mit den gegenwärtigen und künftigen
Entwicklungen der Digitalisierung";;01.02.2023;31.01.2026;C. OSL;;Rejected;
BMBF;;Kompetenzen für eine digital geprägte Welt (Digitalisierung III);DigiBound;"DigiBound - Entwicklung, Testung und Implementierung eines modularen Trainingskonzeptes zur Förderung von Boundary Management als Selbstregulationskompetenz von Kindern und Jugendlichen - Teilvorhaben: Medientechnische Abbildung und Umsetzung des modularen Trainings
zur Förderung von Boundary Management als Selbstregulationskompetenz von Kindern und
Jugendlichen";;01.03.2025;29.02.2028;C. NTM;;Submitted;
DFG;;DFG LIS, Infrastructures for Scholarly Publishing;RePISTEME;An ecosystem of services for FAIR scholarly knowledge;;;;C. DSDL;;Rejected;
DFG;;DFG LIS, Infrastrukturen für wissenschaftliches Publizieren;PID Network Deutschland;PID Network Deutschland – Netzwerk für die Förderung von persistenten Identifikatoren in Wissenschaft und Kultur;;01.03.2023;28.02.2026;A. Ref. PM;51000079;Accepted;
DFG;SE 1827/15-2;DFG LIS, Digitalisierung und Erschließung;GESAH+ (Fortsetzungsantrag);Digitalisierung und fachliche Erschließung der graphischen Bestände der Sammlung des Architekten Albrecht Haupt (GESAH+);;01.01.2023;31.12.2025;A. W-Dienst;51000081;Accepted;
DFG;SE 1827/15-2;DFG LIS, Digitalisierung und Erschließung;GESAH+ (Fortsetzungsantrag);Digitalisierung und fachliche Erschließung der graphischen Bestände der Sammlung des Architekten Albrecht Haupt (GESAH+);;01.01.2023;31.12.2025;C. OSL;51000081;Accepted;
EU;;HORIZON-MSCA-2021-DN-01-01;SCHOL;;;;;;;Rejected;
EU;;ERC-2022-StG;COGNITER;Frictionless scholarly knowledge journeys with symbolic data science;;;;C. DSDL;;Rejected;
EU;;HORIZON-HLTH-2022-STAYHLTH-01-two-stage;SWIPE 1st stage;Sustainable Well-being in Precarious academic Environments;;;;C. DSDL;;Rejected;
DFG;STO 1329/3-1;DFG LIS, Information Infrastructures for Research Data;BITS;BluePrints for the Integration of Terminology Services in Earth System Sciences;;23.12.2022;22.12.2025;D. KI;51000080;Accepted;
DFG;STO 1329/3-1;DFG LIS, Information Infrastructures for Research Data;BITS;BluePrints for the Integration of Terminology Services in Earth System Sciences;;23.12.2022;22.12.2025;C. NTM;51000080;Accepted;
EU;FR 3200279459 – line 1;"EPO Academic Research Programme; ARP 2021 call ";ViP@Scale ;ViP@Scale: Visual and Multimodal Patent Search at Scale;;01.10.2022;20.03.2025;C. VA;59000037;Accepted;
BMBF;16INB2061;https://www.bmbf.de/foerderungen/bekanntmachung-3567.html;TOERN2;Teilen von Open Educational Resources auf der nationalen Bildungsplattform;;01.09.2022;31.08.2024;C. NTM;53000035;Accepted;
BMBF;16INB2061;https://www.bmbf.de/foerderungen/bekanntmachung-3567.html;TOERN2;Teilen von Open Educational Resources auf der nationalen Bildungsplattform;;01.09.2022;31.08.2024;C. E;53000035;Accepted;
BMBF;;Integration der Region Mittelost- und Südosteuropa in den Europäischen Forschungsraum“ (Bridge2ERA2021);NORI;Network for Open Research Information;;;;C. OSL;;Rejected;
DFG;;Schwerpunktprogramm SPP 2172/2 - Das digitale Bild;ReflectAI;"Reflexionsbasierte künstliche Intelligenz in der Kunstgeschichte –
erklärbare hybride Modelle für die Bildersuche und -analyse";;01.01.2023;31.12.2025;C. VA;20220022;Accepted;
EU;;HORIZON-WIDERA-2022-ACCESS-04;AI4GreenDanube;;;;;C. SDM;;Rejected;
Nieders. Lotto-Soprt-Stiftung;;;Decolonize Niedersachsen;Decolonize Niedersachsen;;01.01.2023;31.12.2023;C. OSL;;Rejected;
DFG;;LIS Fachinformationsdienste für die Wissenschaft;FID WiHoFo;FID Wissenschafts- und Hochschulforschung;;;;A. W-Dienst;;Rejected;
DFG;;LIS Fachinformationsdienste für die Wissenschaft;FID BAUdigital (1. Fortsetzung);FID Bauingenieurwesen, Architektur und Urbanistik digital (BAUdigital);;;;A. W-Dienst;;Rejected;
BMBF;16DWWQP07E;Digitaler Wandel in Bildung, Wissenschaft und Forschung;DALIA;Knowledge-Graph der Data Literacy Alliance (DALIA) für FAIRe Datennutzung und -bereitstellung auf der Basis von Semantic-Web-Technologie;;01.11.2022;31.10.2025;C. DSDL;53000037;Accepted;
MWK;14-55 026-2022;Zusätzliche Förderung der Wissenschaftlichen Bibliotheken im Land Niedersachsen im Haushaltsjahr 2022;Sammlung Haupt;Sammlung Albrecht Haupt, Restaurierung und Konservierung von drei Objektgrup-pen der Schadensklassen 3 und 4;;01.01.2022;31.12.2022;A. W-Dienst;56000022;Accepted;
Leibniz-Gemeinschaft;J165/2022;Leibniz-Wettbewerb-2023:  Leibniz Best Minds: Junior Research Groups;EASE-AV;Enabling Accessibility for Scientific and Educational Audiovisual Media;;01.01.2023;31.12.2027;C. VA;;Rejected;
EU;101094397;HORIZON-INFRA-2022-EOSC-01-02;Craft-OA;Creating a Robust Accessible Federated Technology for Open Access;;01.01.2023;31.12.2025;B. PD;57000019;Accepted;
EU;;HORIZON-WIDERA-2022-ERA-01-41;ESRA;Establishing the Scientific Reproducibility Awarding Framework;;;;C. DSDL;;Rejected;
EU;;HORIZON-WIDERA-2022-ERA-01-44;ORRIOL;Open Responsible Research and Innovation to further Learning;;;;C. DSDL;;Rejected;
EU;;HORIZON-INFRA-2022-DEV-01-01;Nanoworld Maps;Empowering Europe to lead the revolution in high-throughput multimodal imaging at nanometre scale;;;;C. OSL;;Rejected;
MWK;11 – 76251-1489/2023 (ZN4161);(VW-Stiftung) Innovation an Fachhochschulen – Förderlinie 2;VidQA;Automatisierte Verständnisüberprüfung von Lernvideos;;01.09.2023;31.08.2026;C. VA;56000038;Accepted;
DFG;SE 1827/16-2;DFG-LIS e-Research Technologien;ConfIDent 2;Mehr Transparenz für wissenschaftliche Konferenzen;;;;A. Ref. PM;;Rejected;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;Base4NFDI;Basic Services for NFDI;;01.03.2023;28.02.2028;C. E;51000083;Accepted;
BMBF;;"Forschung zu „Nicht-staatliche Hochschulen""";PONCHO;Publikationen im Open Access an nichtstaatlichen Hochschulen;;01.04.2023;31.03.2025;B. PD;;Rejected;
EU;;HORIZON-KDT-JU-2021-2-RIA;CLEVER;Collaborative edge-cLoud continuum and Embedded AI for a Visionary industry of thE futuRe;;01.12.2023;30.11.2026;C. DSDL;20220021;Accepted;
BMBF;;Aufbau von Datenkompetenzzentren in der Wissenschaft;DKZ-NORD;Datenkompetenzzentrum DKZ NORD - Wissen aus Daten;;01.12.2022;30.04.2023;C. DSDL;;Rejected;
DFG;PL 801/4-1;LIS-Förderprogramm „e-Research-Technologien”;AV-EFI;"Automatisiertes Verbundsystem für audiovisuelle Bestände
über einheitliche Film Identifikatoren";;01.10.2023;30.09.2025;C. NTM;51000084;Accepted;
BMBF;;"Forschung zu „Nicht-staatliche Hochschulen""";ALPACA;Allmende offener Metadaten: Partizipation und Charakteristika von Hochschulen in nicht-staatlicher Trägerschaft;;01.04.2023;31.03.2026;C. OSL;;Rejected;
MWK;P052;„Innovative Lehr- und Lernkonzepte: Innovation plus“;Inno+ 2023 - Werkstoffkunde;Inno+ 2023 - Werkstoffkunde;;01.01.2023;31.12.2024;C. DSDL;56000031;Accepted;
MWK;73724-ZSL-Haushalt_2023-960/2022-2345/2023-6765/2023;OER-Portal Niedersachsen;twillo Folgeantrag;twillo -  OER Portal Niedersachsen  -  Folgeantrag;;01.08.2023;31.07.2027;C. NTM;56000033;Accepted;
MWK;73724-ZSL-Haushalt_2023-960/2022-2345/2023-6765/2023;OER-Portal Niedersachsen;twillo Folgeantrag;twillo -  OER Portal Niedersachsen  -  Folgeantrag;;01.08.2023;31.07.2027;C. E;56000033;Accepted;
MWK;14 - 55 026-2023;Zusätzliche Förderung von Restaurierungs- und Konservierungsarbeiten in Landes- und Hochschulbibliotheken im Haushaltsjahr 2023;Sammlung Haupt;Fortsetzung der Restaurierung der Sallmung Karl Alrbrecht Haupt - Schutzverpackungen der Monographien aus Teilbestand 2;;01.01.2023;31.12.2023;A. Ref. L;56000026;Accepted;
EU;;HORIZON-HLTH-2022-STAYHLTH-01-01-two-stage (RIA);SWIPE 2nd stage;;;;;C. DSDL;;Rejected;
EU;101104579;ERASMUS-EDU-2022-PEX-COVE;AI4VET4AI (2022);AI-powered Next Generation of VET;;01.07.2023;30.06.2027;C. DSDL;57000021;Accepted;
DFG;;LIS Fachinformationsdienste für die Wissenschaft;FIDChem;Fachinformationsdienst für die Chemie (FIDChem);;;;A. W-Dienst;;Rejected;
DUG-WW;;Deutsch-Ukrainische Gesellschaft für Wirtschaft und Wissenschaft;;Documenting Ukrainian Cultural Heritage ;;01.10.2022;31.12.2022;C. OSL;53000036;Accepted;
BMBF;16KUV014;Digitaler Wandel in Bildung, Wissenschaft und Forschung;open-access-network 2;Kompetenz- und Vernetzungsplattform im Bereich Open Access 2 - Teilvorhaben: Materialien – Talks – neue Akteure – Selbstlernangebote;;01.01.2023;01.01.2026;B. PD;53000038;Accepted;
Stiftung Niedersachsen;7070-106/22;;Policy für offene Kulturdaten;Policy für offene Kulturdaten;;01.12.2022;31.05.2023;C. OSL;59000038;Accepted;
BMBF;;Aufbau von Datenkompetenzzentren in der Wissenschaft;DKZwi;DKZwI - Nationales Datenkompetenzzentrum wissenschaftliche Information;;01.12.2022;30.04.2023;C. DSDL;;Rejected;
EU;;HORIZON-MSCA-2022-PF-01;ReMO Indicators;Investigating the antecedents and detractors of individual well-being in universities and non-commercial research environments;;;;C. DSDL;;Rejected;
EU;;ERASMUS-EDU-2022-PI-ALL-INNO;AI2MED;;;;;C. DSDL;;Rejected;
EU;;Horizon Europe - Digital Transformation Call 2022;QuDOS;Quality of Data in the European Open Science Cloud;;;;C. NTM;;Rejected;
DAAD;;Ukraine digital: Studienerfolg in Krisenzeiten sichern (2022);OER with Ukraine;OER with Ukraine;;01.06.2022;31.12.2022;C. NTM;20230026;Accepted;
MWK;76202-4872/2022;Pro*Niedersachsen - Forschungsvorhaben Geistes-, Kultur- und Sozialwissenschaften;Koloniale Spuren;Koloniale Spuren in Tansania und Niedersachsen – Ein interaktiver postkolonialer Atlas;;01.10.2023;30.09.2025;C. OSL;;Rejected;
VW Stiftung;;Pioniervorhaben – Impulse für das Wissenschaftssystem;;Ein Community-basiertes Komplement zum Peer-Review-Publikationssystem;;;;B. PD;;Rejected;
MWK;;"Ausschreibung „Zukunftsdiskurse""";WikiRemembrance;WikiRemembrance: Den Nationalsozialismus erforschen und erinnern mittels partizipativer Plattformen wie Wikidata - eine neue digitale Wissenskultur zwischen der Hoffnung auf mehr Offenheit und Nachhaltigkeit, und der Furcht vor Hassrede und Missbrauch;;01.10.2023;31.12.2024;C. OSL;56000032;Accepted;
VW Stiftung;;Pioniervorhaben – Impulse für das Wissenschaftssystem;;Karten des Forschungsstands: Semantische Netzwerke von Forschungsinhalten als Grundlage der Wissensorganisation;;01.09.2023;31.08.2026;C. DSDL;;Rejected;
VW Stiftung;;Pioniervorhaben – Impulse für das Wissenschaftssystem;REHUB;Research Data Reusability Hub;;01.09.2023;31.08.2026;C. DSDL;;Rejected;
DFG;SE 1827/27-1;"DFG-LIS ""e-Research Technologien""";IRMA;Improve your Repository MetadatA. Nachnutzungspotentiale wissenschaftlicher Repositorien verbessern;;;;A. Ref. PM;;Rejected;
EU;;HORIZON-MSCA-2022-DN-01-01;DIAMONDS;Empirical Discourse Analysis of Multimodal Online News and Social Media;;;;C. VA;;Rejected;
EU;;HORIZON-MSCA-2022-DN-01-01;SHERPA;Sustainable and Healthy work Environments for Researchers: Personalised and Accountable interventions for institutions;;;;C. DSDL;;Rejected;
EU;;AI for human empowerment (AI, Data and Robotics Partnership);GOLDEN;;;;;C. SDM;;Rejected;
MWK;11-76251-5190/2022 (ZN4058);Zusätzliche Förderung von Wissenschaft und Technik in Forschung und Lehre aus Mitteln des SPRUNG (vormals Nieders. Vorab);Joint Lab „Future Libraries & Research Data“;Anschubfinanzierung des Joint Lab „Future Libraries & Research Data“;;15.08.2023;14.08.2025;C. OSL;56000027;Accepted;
MWK;AZ 76202-5941/2022;Pro*Niedersachsen – Kulturelles Erbe – Sammlungen und Objekte;WeDi-OGT;"Werkzeuge und Formate digital handlungsfähiger Erinnerungskultur - das Modell ""Orte des Gestapoterrors im heutigen Niedersachsen""";;01.01.2024;31.12.2025;C. OSL;56000037;Accepted;
DAAD;;Ukraine digital: Studienerfolg in Krisenzeiten sichern (2023);Open Educational Resources with Ukraine_Infomatics;OER with Ukraine;;01.01.2023;31.12.2023;C. NTM;20230023;Accepted;
BMBF;;Kompetenzzentren für digitales und digital gestütztes Unterrichten in Schule und Weiterbildung;KodiLUS;Kompetenzzentrum für digitalgestütztes Lernen und Unterrichten in der (inklusiven) Schule;;01.06.2023;31.12.2025;C. NTM;;Rejected;
BMBF;16KOA011A ;Etablierung einer gelebten Open-Access-Kultur in der deutschen Forschungs- und Wissenschaftspraxis;KOALA-AV;Konsortiale Open-Access-Lösungen Aufbauen, Ausbauen und Verankern;;01.09.2023;31.08.2025;B. PD;53000040;Accepted;
BMBF;16KOA013B;Etablierung einer gelebten Open-Access-Kultur in der deutschen Forschungs- und Wissenschaftspraxis;Mehr-OA;Mehrwerte von Open Access für die datengestützte Forschung und Entwicklung;;01.09.2023;31.08.2026;D. KI;53000042;Accepted;
EU;;Horizon Europe HORIZON-CL5-2022-D4-02;Twin4People;Solutions for the sustainable, resilient, inclusive and accessible regeneration of neighbourhoods enabling low carbon footprint lifestyles and businesses;;;;D. DSDL;;Rejected;
BMBF;16KOA030;Etablierung einer gelebten Open-Access-Kultur in der deutschen Forschungs- und Wissenschaftspraxis;IDAHO;IDentifikAtion von Hürden zum Open-Access-Publizieren für Forschende mit schwacher institutioneller Anbindung - epistemische Ungerechtigkeit im wissenschaftlichen Publizieren;;01.09.2023;31.08.2025;C. OSL;53000043;Accepted;Ja
BMBF;16KOA009A;Etablierung einer gelebten Open-Access-Kultur in der deutschen Forschungs- und Wissenschaftspraxis;KOMET;Kollaborative Anreicherung der Metadatenallmende zur Förderung eines diversen Open-AccessÖkosystems, Teilvorhaben: Offene Zitationsinformationen und persistente Identifikatoren für bessere Evaluationen in einem diversen OAÖkosystem;;01.09.2023;31.08.2025;C. OSL;53000041;Accepted;Ja
Leibniz-Gemeinschaft;K441/2022;Leibniz-Wettbewerb-2023:  Collaborative Excellence;VideoSRS;"Assisting the remote video learner with self-regulation support: A  study on the responsible use of machine learning approaches in education
";;01.02.2023;31.01.2026;C. VA;54000010;Accepted;
DFG;GZ: SFB 1153/3 2023;SFB 1153/3, Teilprojekt INF, 3.Förderperiode;Forschungsdatenmanagement Tailored Forming;Prozesskette zur Herstellung hybrider Hoch-leistungsbauteile durch Tailored Forming;https://www.sfb1153.uni-hannover.de;01.07.2023;30.06.2027;C. LSK;59000029;Accepted;
BMBF;;Etablierung einer gelebten Open-Access-Kultur in der deutschen Forschungs- und Wissenschaftspraxis;PANTER;Publishing Analytics Tracker - Teilvorhaben: Wissenschaftskommunikation und Vernetzung;;01.09.2023;31.08.2025;A. Ref. L;53000044;Accepted;
EU;101124310;ERASMUS-EDU-2023-EUR-UNIV;EUList;European Universities - Development of new deep institutional transnational cooperation;;01.12.2023;30.11.2027;D. DSDL;57000022;Accepted;
VW Stiftung;;"Programm ""Forschung über Wissenschaft""; Call:""Bewertungssysteme in der Wissenschaft""";RACCOON;Responsible evaluation of conference contributions ;;01.01.2024;31.12.2026;C. OSL;;Rejected;
DFG;TU 577/1-1 ;"DFG-LIS ""Infrastrukturen für wiss. Publizieren""";SISOX;Single-Source-XML – Publikationsprozesse und Implementierung im wissenschaftlichen Kontext;;;;B. PD;;Rejected;
BMBF;;Forschungsvorhaben im Themenfeld Wissenschaftskommunikation;INDEED;Identification of conditions for detecting and defeating misinformation in videos on climate change – a full-cycle, multi-methods approach;;01.07.2023;30.06.2026;C. NTM;;Rejected;
BMBF;;Forschungsvorhaben im Themenfeld Wissenschaftskommunikation;INDEED;Identification of conditions for detecting and defeating misinformation in videos on climate change – a full-cycle, multi-methods approach;;01.07.2023;30.06.2026;C. VA;;Rejected;
